JINA_ID   Ref      Name                       Simbad_Identifier                    Fe/H    Mg/Fe  
546       GIL13    boo-117                    2MASS_J14001049+1431454              -2.05   0.3    
547       ISH14    Boo-117                    2MASS_J14001049+1431454              -2.15   0.05   
549       GIL13    boo-33                     2MASS_J14001174+1425013              -2.28   0.34   
551       FRE16    Boo-127                    2MASS_J14001456+1435527              -1.99   0.41   
552       GIL13    boo-127                    2MASS_J14001456+1435527              -1.92   0.2    
553       ISH14    Boo-127                    2MASS_J14001456+1435527              -1.92   0.11   
554       GIL13    boo-41                     2MASS_J14002582+1426073              -1.8    0.47   
556       GIL13    boo-94                     2MASS_J14003150+1434034              -2.91   0.63   
557       ISH14    Boo-94                     2MASS_J14003150+1434034              -3.18   0.39   
559       ISH14    Boo-121                    2MASS_J14003651+1439272              -2.49   0.2    
566       COH06    HE1410+0213                2MASS_J14130656+0159219              -2.21   0.17   
567       COH13    HE1410+0213                2MASS_J14130656+0159219              -2.14   0.14   
570       BAR05    HE1419-1759                2MASS_J14221769-1813295              -3.17   0.25   
571       BAR05    HE1421-2006                2MASS_J14235044-2020106              -2.65   0.36   
573       AOK07a   HE1429-0551                2MASS_J14323128-0605002              -2.52   0.5    
579       BAR05    HE1430-0026                2MASS_J14331629-0039476              -2.78   0.27   
580       BAR05    HE1430+0053                2MASS_J14331652+0040490              -3.03   0.2    
582       BAR05    HE1430-1123                2MASS_J14333363-1137073              -2.7    0.33   
583       BAR05    HE1431-2142                2MASS_J14340669-2155166              -2.6    0.34   
585       PRE00    CS22874-009                2MASS_J14342316-2617376              -0.4    0.18   
586       COH06    HE1434-1442                2MASS_J14372659-1454594              -2.43   0.28   
587       COH13    HE1434-1442                2MASS_J14372659-1454594              -2.38   0.28   
588       PRE00    CS22874-042                2MASS_J14380194-2458443              -1.51   0.13   
589       COH06    HE1443+0113                2MASS_J14461636+0101098              -2.12   0.36   
590       COH13    HE1443+0113                2MASS_J14461636+0101098              -2.11   0.69   
591       AOK07a   HE1447+0102                2MASS_J14501503+0050151              -2.52   1.41   
609       SHE01    UMiO                       2MASS_J15083440+6710341              -1.89   0.39   
610       SHE01    UMiK                       2MASS_J15085547+6715162              -2.15   0.65   
612       COH06    HE1509-0806                2MASS_J15114157-0817401              -2.96   0.63   
613       COH13    HE1509-0806                2MASS_J15114157-0817401              -2.91   0.62   
617       ROE14b   CS22890-024                2MASS_J15160539-0003578              -2.77   0.3    
619       AOK07a   HE1523-1155                2MASS_J15264103-1205426              -2.2    0.6    
620       AOK07a   HE1528-0409                2MASS_J15305430-0419404              -2.65   0.8    
625       ROE14b   CS30312-059                2MASS_J15344884-0123372              -3.41   0.54   
